Total Rows Processed: 64
Total Unmapped SKUs: 63
Invalid Combos: 0
Missing Parts in Combos: 0
---- Detailed Logs ----
Unmapped SKU: 32546987
Unmapped SKU: goku action figure01
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: 32546987
Unmapped SKU: CSTE_0490_ST_Fruit_Blox_Shadow
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: CSTE_0454_ST_Animal_Garfield_Orange
Unmapped SKU: 32546987
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: CSTE_0417_Organizer_StorageBox_SkyBlue
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: SG_FireGlass_MercuryPink
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: CSTE_0478_ST_Minecraft_Cow_Brown
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: 32002561
Unmapped SKU: 32546987
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: SG_FireGlass_Green
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: SG_butterfly_Red&Green
Unmapped SKU: 32546987
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: 32546987
Unmapped SKU: CSTE_0157_SG_FireGlass_Green
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: Goku Super Saiyyan Injured01
Unmapped SKU: CSTE_0417_Organizer_StorageBox_SkyBlue
Unmapped SKU: 32546987
Unmapped SKU: 1951027540_9
Unmapped SKU: Dolphine bubble shooter gun for kids
Unmapped SKU: MB_StarWars_|BLK
Unmapped SKU: 32546987
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: CSTE_O0445_OT_Glue_Sand_Rubber_Monkey
Unmapped SKU: Harry_wand
Unmapped SKU: CSTE_0533_ST_Animal_Breathing_Koala_Grey
Unmapped SKU: 32546987
Unmapped SKU: Minecraft_Small_Sword_Steve
Unmapped SKU: CSTE_0205_MB_MHA10_Brown
Unmapped SKU: SG_butterfly_Red&Green
Unmapped SKU: CSTE_0157_SG_FireGlass_Green
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: Titanic_Brown
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: SG_butterfly_Red&Green
Unmapped SKU: 78945615
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: 32546987
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: 586379476_16
Unmapped SKU: 586379476_16
Unmapped SKU: SG_FireGlass_Green
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
Unmapped SKU: 78945615
Unmapped SKU: CSTE_O0390_OT_Toiletry_Bottles
